@relation 'training_t-c2: -C -14'

@attribute GO:0010008 numeric
@attribute GO:0000139 numeric
@attribute GO:0015031 numeric
@attribute GO:0016020 numeric
@attribute GO:0016021 numeric
@attribute GO:0000166 numeric
@attribute GO:0016605 numeric
@attribute GO:0016740 numeric
@attribute GO:0016787 numeric
@attribute GO:0019899 numeric
@attribute GO:0022904 numeric
@attribute GO:0000278 numeric
@attribute GO:0030529 numeric
@attribute GO:0031965 numeric
@attribute GO:0003674 numeric
@attribute GO:0003677 numeric
@attribute GO:0003682 numeric
@attribute GO:0003723 numeric
@attribute GO:0003824 numeric
@attribute GO:0042802 numeric
@attribute GO:0043066 numeric
@attribute GO:0043231 numeric
@attribute GO:0044281 numeric
@attribute GO:0045202 numeric
@attribute GO:0045211 numeric
@attribute GO:0045893 numeric
@attribute GO:0045944 numeric
@attribute GO:0004674 numeric
@attribute GO:0046872 numeric
@attribute GO:0048471 numeric
@attribute GO:0004930 numeric
@attribute GO:0005052 numeric
@attribute GO:0005102 numeric
@attribute GO:0005179 numeric
@attribute GO:0005509 numeric
@attribute GO:0055114 numeric
@attribute GO:0005515 numeric
@attribute GO:0005524 numeric
@attribute GO:0005576 numeric
@attribute GO:0005578 numeric
@attribute GO:0005615 numeric
@attribute GO:0005622 numeric
@attribute GO:0005634 numeric
@attribute GO:0005635 numeric
@attribute GO:0005643 numeric
@attribute GO:0005654 numeric
@attribute GO:0005694 numeric
@attribute GO:0005730 numeric
@attribute GO:0005737 numeric
@attribute GO:0005739 numeric
@attribute GO:0005741 numeric
@attribute GO:0005743 numeric
@attribute GO:0005759 numeric
@attribute GO:0005764 numeric
@attribute GO:0005765 numeric
@attribute GO:0005768 numeric
@attribute GO:0005777 numeric
@attribute GO:0005778 numeric
@attribute GO:0005783 numeric
@attribute GO:0005788 numeric
@attribute GO:0005789 numeric
@attribute GO:0005794 numeric
@attribute GO:0005796 numeric
@attribute GO:0005813 numeric
@attribute GO:0005815 numeric
@attribute GO:0005829 numeric
@attribute GO:0005840 numeric
@attribute GO:0005856 numeric
@attribute GO:0005886 numeric
@attribute GO:0006260 numeric
@attribute GO:0006281 numeric
@attribute GO:0006351 numeric
@attribute GO:0006355 numeric
@attribute GO:0006412 numeric
@attribute GO:0006508 numeric
@attribute GO:0006635 numeric
@attribute GO:0006810 numeric
@attribute GO:0006915 numeric
@attribute GO:0007049 numeric
@attribute GO:0007165 numeric
@attribute GO:0007186 numeric
@attribute GO:0007219 numeric
@attribute GO:0007275 numeric
@attribute GO:0008152 numeric
@attribute GO:0008270 numeric
@attribute GO:0008380 numeric
@attribute GO:0008543 numeric
@attribute centrosome {0,1}
@attribute cytoplasm {0,1}
@attribute cytoskeleton {0,1}
@attribute endoplasmic-reticulum {0,1}
@attribute endosome {0,1}
@attribute extracell {0,1}
@attribute Golgi-apparatus {0,1}
@attribute lysosome {0,1}
@attribute microsome {0,1}
@attribute mitochondrion {0,1}
@attribute nucleus {0,1}
@attribute peroxisome {0,1}
@attribute plasma-membrane {0,1}
@attribute synapse {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,31,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
